x1 (cm),y1 (cm),freq (GHz),"Electric field norm (V/m), Boundary Probe 2","Electric field norm (V/m), Boundary Probe 3","Electric field norm (V/m), Point Probe 2","Electric field norm (V/m), Detector"
-6,-6,10.5,0.695131008,0.614486507,0.703340892,0.740484234
-6,-6,10.6,0.705613446,0.61042164,0.667422601,0.745925751
-6,-6,10.7,0.712849688,0.611740887,0.623594343,0.745386047
-6,-6,10.8,0.71609046,0.620268078,0.582488452,0.735981708
-6,-6,10.9,0.722601042,0.626775898,0.547407177,0.725927271
-6,-6,11,0.729789461,0.624116678,0.517719602,0.71502055
-6.5,-6.5,5,0.583282276,0.586971232,0.865296265,0.600504825
-6.5,-6.5,5.1,0.585211473,0.586347522,0.849373798,0.612955626
-6.5,-6.5,5.2,0.587751716,0.595711955,0.825246961,0.62796486
-6.5,-6.5,5.3,0.594734074,0.606851464,0.794478732,0.632576764
-6.5,-6.5,5.4,0.611818952,0.611000017,0.764332932,0.615043257
-6.5,-6.5,5.5,0.638461826,0.599179055,0.7422415,0.639953827
-6.5,-6.5,5.6,0.662661325,0.598749007,0.726254345,0.711572913
-6.5,-6.5,5.7,0.681687987,0.614359435,0.706746949,0.738514976
-6.5,-6.5,5.8,0.695685745,0.627465361,0.675634311,0.742649414
-6.5,-6.5,5.9,0.704328826,0.630795547,0.630189098,0.744997573
-6.5,-6.5,6,0.708579415,0.622425872,0.571349644,0.753198802
-6.5,-6.5,6.1,0.709055663,0.609244767,0.501890025,0.759945127
-6.5,-6.5,6.2,0.705169259,0.608053633,0.418204918,0.740467823
-6.5,-6.5,6.3,0.706386993,0.62623317,0.347432972,0.741317227
-6.5,-6.5,6.4,0.723684704,0.632736071,0.391941735,0.789996697
-6.5,-6.5,6.5,0.739244684,0.630301475,0.422032074,0.807550623
-6.5,-6.5,6.6,0.748022933,0.622766353,0.4312287,0.805796932
-6.5,-6.5,6.7,0.748492922,0.619085865,0.436385829,0.794932598
-6.5,-6.5,6.8,0.741292928,0.62508526,0.453233753,0.783409197
-6.5,-6.5,6.9,0.729551166,0.636664345,0.489781222,0.773883644
-6.5,-6.5,7,0.715853972,0.643410965,0.579760987,0.744645496
-6.5,-6.5,7.1,0.727348248,0.637043562,0.716313781,0.732507444
-6.5,-6.5,7.2,0.74441274,0.633534158,0.756781257,0.747469898
-6.5,-6.5,7.3,0.755406774,0.631983974,0.768487657,0.748634556
-6.5,-6.5,7.4,0.76275829,0.634725352,0.768830174,0.744437437
-6.5,-6.5,7.5,0.764578337,0.636115838,0.759572847,0.73672474
-6.5,-6.5,7.6,0.759267521,0.631049115,0.743519627,0.726209618
-6.5,-6.5,7.7,0.747679183,0.620151546,0.728565174,0.713167706
-6.5,-6.5,7.8,0.740296882,0.610001397,0.7604199,0.682460384
-6.5,-6.5,7.9,0.752561519,0.619081868,0.783470916,0.673642378
-6.5,-6.5,8,0.754534282,0.631940949,0.76849142,0.666379212
-6.5,-6.5,8.1,0.75338608,0.639483496,0.746075512,0.654612151
-6.5,-6.5,8.2,0.750514887,0.637334512,0.712866707,0.647384571
-6.5,-6.5,8.3,0.744011748,0.626352209,0.665031219,0.646162447
-6.5,-6.5,8.4,0.731710718,0.614385481,0.603055227,0.648860043
-6.5,-6.5,8.5,0.713614114,0.612726518,0.534499284,0.650519973
-6.5,-6.5,8.6,0.706852568,0.616764929,0.474511159,0.647300734
-6.5,-6.5,8.7,0.704777942,0.614243317,0.439230319,0.660084755
-6.5,-6.5,8.8,0.698324707,0.607908155,0.42654767,0.654939738
-6.5,-6.5,8.9,0.690041156,0.599953894,0.416201863,0.637999862
-6.5,-6.5,9,0.6803612,0.59882378,0.397205839,0.621964885
-6.5,-6.5,9.1,0.66833731,0.604553927,0.373283255,0.614044533
