% r0 (cm),freq (GHz),"Electric field norm (V/m), Point: (-0.088666, -0.09507)","Electric field norm (V/m), Boundary Probe 2","Electric field norm (V/m), Boundary Probe 3","Electric field norm (V/m), Point Probe 2"
6.6,9.1,0,0.703303099,0.671222804,0.220413866
6.6,9.2,0,0.694272308,0.661707524,0.20808482
6.6,9.3,0,0.683458212,0.656715722,0.228530521
6.6,9.4,0,0.676635283,0.657813021,0.242120454
6.6,9.5,0,0.660218454,0.657561812,0.250086062
6.6,9.6,0,0.63658594,0.654245051,0.252994041
6.6,9.7,0,0.614917694,0.651310007,0.256705728
6.6,9.8,0,0.599398051,0.646731077,0.262790817
6.6,9.9,0,0.590566702,0.639730111,0.270268544
6.6,10,0,0.587286326,0.632298225,0.279153334
6.6,10.1,0,0.592670471,0.629313194,0.301259938
6.6,10.2,0,0.606554364,0.632307487,0.327689109
6.6,10.3,0,0.611967371,0.631055562,0.35811101
6.6,10.4,0,0.611342491,0.630644197,0.380721452
6.6,10.5,0,0.617250957,0.636008047,0.39939075
6.6,10.6,0,0.631024463,0.643156593,0.417174047
6.6,10.7,0,0.647604854,0.64838804,0.431046156
6.6,10.8,0,0.665216133,0.652341767,0.443022594
6.6,10.9,0,0.686239966,0.659577011,0.443967633
6.6,11,0,0.706250962,0.663886118,0.436826749
6.5,9,0,0.713608085,0.689051186,0.237989853
6.5,9.1,0,0.704873724,0.678304811,0.220947929
6.5,9.2,0,0.695893828,0.66760859,0.207684833
6.5,9.3,0,0.685406308,0.659806213,0.22844751
6.5,9.4,0,0.678834863,0.66020516,0.242985392
6.5,9.5,0,0.662543598,0.660546956,0.251611991
6.5,9.6,0,0.638620105,0.656897834,0.254497556
6.5,9.7,0,0.616665883,0.653679852,0.257624566
6.5,9.8,0,0.600882166,0.649594612,0.262769606
6.5,9.9,0,0.591892756,0.643324087,0.269378631
6.5,10,0,0.588639982,0.635863181,0.277850192
6.5,10.1,0,0.594359846,0.632258299,0.298891334
6.5,10.2,0,0.608396802,0.636423263,0.32433629
6.5,10.3,0,0.613438862,0.635367989,0.35421897
6.5,10.4,0,0.612229433,0.632543242,0.376578314
6.5,10.5,0,0.617866383,0.635803472,0.395144996
6.5,10.6,0,0.631666233,0.641552748,0.413005818
6.5,10.7,0,0.648355162,0.645120367,0.427159403
6.5,10.8,0,0.666371052,0.647383793,0.439581361
6.5,10.9,0,0.687756765,0.654830552,0.440709945
6.5,11,0,0.708074547,0.66104514,0.433787236
6.4,9,0,0.715320342,0.69363604,0.238546353
6.4,9.1,0,0.70654826,0.684174644,0.221460582
6.4,9.2,0,0.697612135,0.673666725,0.207203152
6.4,9.3,0,0.687442261,0.663964066,0.228227603
6.4,9.4,0,0.681167395,0.662872744,0.243764498
6.4,9.5,0,0.664908451,0.663641038,0.253129577
6.4,9.6,0,0.640724427,0.659896522,0.256107813
6.4,9.7,0,0.618493683,0.656229269,0.258792023
6.4,9.8,0,0.602454444,0.652308613,0.263107806
6.4,9.9,0,0.593313992,0.646755342,0.268871061
6.4,10,0,0.590095926,0.640031495,0.276913438
6.4,10.1,0,0.596119393,0.636080715,0.296770357
6.4,10.2,0,0.61040321,0.641148521,0.321102091
6.4,10.3,0,0.615033802,0.64129801,0.3503784
6.4,10.4,0,0.613234091,0.637212386,0.372463352
6.4,10.5,0,0.618584152,0.63843079,0.390912168
6.4,10.6,0,0.632399201,0.642570458,0.408840152
6.4,10.7,0,0.64926513,0.644455371,0.423270664
6.4,10.8,0,0.667665823,0.644161992,0.43612706
6.4,10.9,0,0.689400978,0.650295993,0.437421034
6.4,11,0,0.710039385,0.658268512,0.430705992
6.3,9,0,0.717129483,0.696357701,0.239072934
