x0 (cm),y0 (cm),freq (GHz),"Electric field norm (V/m), Boundary Probe 2","Electric field norm (V/m), Boundary Probe 3","Electric field norm (V/m), Point Probe 2","Electric field norm (V/m), Detector 1","Electric field norm (V/m), Detector 2p","Electric field norm (V/m), Detector 2n","Electric field norm (V/m), Boundary Probe 3n","Electric field norm (V/m), Boundary Probe 4n","Electric field norm (V/m), Boundary Probe 4p",Point average: Electric field norm (V/m)
0,0,11.5,0.716308047,0.633004153,0.48363105,0.585203157,0.860565634,0.860565139,0.993408823,0.967694914,0.967694945,0.993408975
0,0,11.6,0.712895768,0.630546269,0.503496565,0.5765848,0.867588334,0.867587857,0.997073884,0.962853029,0.962853086,0.997074036
0,0,11.7,0.706856663,0.62611881,0.528289908,0.571423602,0.854729644,0.854729117,0.997838791,0.986250441,0.986250476,0.997838897
0,0,11.8,0.707251803,0.629072549,0.537468192,0.567606947,0.820969997,0.820969404,0.991443923,1.031426789,1.031426753,0.991443941
0,0,11.9,0.713366546,0.636427169,0.514905192,0.560763381,0.802671142,0.802670504,0.976847205,1.035312806,1.035312803,0.976847145
0,0,12,0.717562549,0.638760578,0.493730728,0.551932743,0.807085893,0.807085251,0.964866105,1.031657831,1.031657937,0.964865987
0,0,12.1,0.721499223,0.63624973,0.489146778,0.552896776,0.819488125,0.819487472,0.957244238,1.04501176,1.045011891,0.957244068
0,0,12.2,0.725441448,0.63129559,0.497641011,0.564207119,0.832542905,0.832542232,0.954064519,1.062186699,1.062186755,0.954064316
0,0,12.3,0.728709048,0.627770582,0.521677073,0.578460906,0.842914996,0.842914292,0.958606237,1.068868247,1.06886822,0.958606016
0,0,12.4,0.727634222,0.628198551,0.560431281,0.592284574,0.843367229,0.843366471,0.964682433,1.074543337,1.074543272,0.964682235
0,0,12.5,0.722802036,0.630345333,0.626368531,0.60447338,0.822990322,0.822989424,0.973450018,1.097119539,1.097119469,0.973449884
0,0,12.6,0.725472099,0.627606763,0.694862852,0.619933867,0.796684065,0.796682822,0.977046375,1.116114896,1.116114873,0.97704631
0,0,12.7,0.730594763,0.622637846,0.693089221,0.62760788,0.801748275,0.8017469,0.968612446,1.072186305,1.072186586,0.968612434
0,0,12.8,0.727111804,0.620154075,0.661439887,0.620997597,0.817179692,0.817178053,0.958850727,1.040343554,1.040343964,0.958850813
0,0,12.9,0.720322645,0.621992163,0.628650015,0.609774141,0.833219179,0.833217042,0.953812763,1.030690668,1.030691094,0.953812976
0,0,13,0.713274654,0.627052207,0.597731107,0.597858635,0.850346721,0.850344445,0.957668783,1.025794241,1.02579458,0.957669058
0,0,13.1,0.706147902,0.630575859,0.568976019,0.586762226,0.868192888,0.86819096,0.968036487,1.022803686,1.02280385,0.968036711
0,0,13.2,0.697586567,0.629969228,0.545470358,0.575214222,0.876353863,0.876352294,0.982154317,1.029545141,1.029545165,0.982154453
0,0,13.3,0.691151048,0.625681868,0.539651414,0.562286569,0.864726345,0.864724842,0.992262396,1.060580478,1.060580381,0.992262442
0,0,13.4,0.695878255,0.621534224,0.546996597,0.569745724,0.854568046,0.85456625,0.983141646,1.075088968,1.075088747,0.983141684
0,0,13.5,0.697837973,0.62040476,0.533540118,0.588839028,0.874218061,0.874216074,0.968884856,1.044821276,1.044820988,0.968884911
0,0,13.6,0.692186407,0.621059376,0.525009044,0.59085001,0.893914159,0.89391222,0.96032183,1.041318529,1.041318166,0.960321882
0,0,13.7,0.683941078,0.619555313,0.530477971,0.584385011,0.911213666,0.911211806,0.956869849,1.049947053,1.049946704,0.956869888
0,0,13.8,0.675598246,0.614601267,0.550260966,0.575159188,0.928292898,0.928291133,0.957562236,1.060087734,1.060087408,0.957562246
0,0,13.9,0.667004962,0.608780208,0.575469951,0.56565576,0.940147365,0.940145682,0.960696283,1.074213156,1.074212879,0.960696251
0,0,14,0.657817599,0.607627032,0.592792294,0.554183611,0.938484102,0.938482477,0.964875277,1.096028342,1.096028136,0.964875239
0,0,14.1,0.650984058,0.614722308,0.592653312,0.53493732,0.90766711,0.907665456,0.967891186,1.129383256,1.129383154,0.967891237
0,0,14.2,0.656293136,0.617854808,0.576609865,0.541266886,0.879195468,0.87919358,0.958825043,1.110736322,1.110736446,0.958825234
0,0,14.3,0.659330996,0.61362891,0.559421753,0.568700083,0.882587591,0.882585548,0.946093985,1.068463319,1.068463499,0.946094175
0,0,14.4,0.657512296,0.608088559,0.55238884,0.585388778,0.888098747,0.888096738,0.938711674,1.040969155,1.040969121,0.938711765
0,0,14.5,0.654700873,0.603449638,0.553857337,0.600230112,0.896002687,0.896000723,0.936175817,1.015440078,1.015439754,0.936175782
0,0,14.6,0.652121733,0.602638927,0.558818636,0.61610117,0.902771313,0.902769531,0.937811113,0.994384877,0.994384332,0.937811009
0,0,14.7,0.649704011,0.60605752,0.563072628,0.630610516,0.904086706,0.904085018,0.943227168,0.981900723,0.981900117,0.943227059
0,0,14.8,0.646211931,0.609723519,0.564041226,0.63921861,0.892820526,0.892818968,0.951323792,0.987736808,0.98773628,0.951323718
0,0,14.9,0.643824373,0.606656611,0.559747546,0.63177835,0.863271364,0.863269332,0.956770049,1.011991934,1.011991641,0.956770119
0,0,15,0.651047335,0.598679107,0.511639195,0.640245739,0.853688854,0.853686707,0.944052851,0.98619235,0.986192444,0.944053043
0,0,15.1,0.655970726,0.597381911,0.462854718,0.649280799,0.854030603,0.854028586,0.937791274,0.97669968,0.97669973,0.937791309
0,0,15.2,0.659108065,0.60361134,0.4352885,0.642221033,0.860051197,0.860049107,0.942335913,0.971644754,0.971644747,0.942335836
0,0,15.3,0.662814906,0.611374786,0.420989033,0.630070668,0.871627005,0.871625278,0.953603031,0.965061233,0.965061141,0.953602985
0,0,15.4,0.667848262,0.616710614,0.414426747,0.619124683,0.884565576,0.88456352,0.967914081,0.961037609,0.961037405,0.967914141
0,0,15.5,0.673547578,0.617848878,0.414297933,0.61185791,0.894439267,0.894437472,0.981356071,0.963408939,0.963408669,0.981356244
0,0,15.6,0.678222171,0.616103403,0.42414908,0.606524644,0.893742632,0.893740799,0.990737381,0.979638025,0.979637698,0.990737593
0,0,15.7,0.683330655,0.617620356,0.455694458,0.59057671,0.881383219,0.881380847,0.987053635,0.990745461,0.990744993,0.98705385
0,0,15.8,0.692594529,0.623498978,0.46904234,0.590979476,0.883712636,0.883709854,0.971766137,0.975731102,0.975730687,0.971766348
0,0,15.9,0.695689455,0.626979607,0.479296355,0.585793295,0.885787564,0.885784728,0.970589301,0.97322116,0.973220861,0.970589342
0,0,16,0.695183143,0.626407739,0.499525686,0.567376296,0.893780072,0.893777245,0.979754238,0.963222152,0.96322194,0.979754211
0,0,16.1,0.694359649,0.623000229,0.527833378,0.545816618,0.905112661,0.905109916,0.992311775,0.953964144,0.953963794,0.9923118
0,0,16.2,0.694963158,0.619704026,0.557854249,0.527507866,0.916503879,0.916501211,1.002766425,0.94990189,0.949901563,1.002766571
0,0,16.3,0.697024182,0.621196281,0.580202372,0.515738376,0.923310587,0.923307924,1.009099279,0.954762271,0.954762232,1.009099556
0,0,16.4,0.699509965,0.626205136,0.586606779,0.51058811,0.91484772,0.914844893,1.012244989,0.972230401,0.972230641,1.012245357
0,0,16.5,0.707738924,0.626511198,0.60184827,0.508254016,0.901979503,0.901975749,1.0020524,0.969249958,0.969250067,1.002052688
0,0,16.6,0.719707765,0.62215671,0.623898022,0.531148829,0.902674342,0.902669881,0.985740345,0.976871542,0.97687147,0.985740489
0,0,16.7,0.726497839,0.619516478,0.644161483,0.549191254,0.908231568,0.908226984,0.983152133,0.968999861,0.968999783,0.983152193
0,0,16.8,0.728979902,0.621169508,0.670582101,0.557673377,0.919082552,0.919078211,0.990214531,0.953709866,0.953709969,0.990214591
0,0,16.9,0.729308328,0.626282373,0.69695348,0.561951793,0.92793089,0.92792688,1.000143258,0.951471077,0.951471324,1.000143306
0,0,17,0.728346811,0.630000379,0.712962545,0.56492024,0.931815522,0.931811767,1.009282958,0.963457963,0.963458268,1.00928291
0,0,17.1,0.725418306,0.628501516,0.708346353,0.567509882,0.92748847,0.927484836,1.016005525,0.987478024,0.987478497,1.016005323
0,0,17.2,0.719720608,0.623017213,0.674314487,0.566611929,0.906825919,0.906822248,1.01711207,1.014895772,1.014896443,1.017111742
0,0,17.3,0.720367653,0.62106693,0.603635008,0.567363413,0.899795814,0.899791558,1.001840084,1.02913817,1.029138498,1.001839669
0,0,17.4,0.721758813,0.621514397,0.510149696,0.580476086,0.896606301,0.896601797,0.990630111,1.049314281,1.04931434,0.990629628
0,0,17.5,0.721415887,0.622825462,0.446408632,0.587232873,0.905097454,0.905092875,0.996663536,1.034960886,1.034961212,0.996663293
0,0,17.6,0.718793401,0.622087441,0.428560595,0.585277965,0.919597302,0.919592691,1.012561999,1.018378864,1.018379683,1.012561967
0,0,17.7,0.715285581,0.61993433,0.42838036,0.580444312,0.932470603,0.932466053,1.026799093,1.015461988,1.015463055,1.026799056
0,0,17.8,0.710954733,0.616695062,0.423654154,0.575362423,0.940968467,0.940964106,1.03512604,1.024451348,1.024452206,1.035125934
0,0,17.9,0.704291984,0.615856148,0.406117726,0.569029514,0.941194469,0.941190408,1.038270357,1.043174944,1.043175293,1.03827022
0,0,18,0.695113081,0.620945992,0.3824857,0.555224999,0.92955966,0.929555657,1.034196931,1.055664228,1.055663916,1.03419693
0,0,18.1,0.688858678,0.625613823,0.377215229,0.544344778,0.922841337,0.922837198,1.019845907,1.079396758,1.079396001,1.019846341
0,0,18.2,0.684452794,0.624146476,0.397576207,0.545603562,0.911457162,0.911453043,1.016164771,1.088371775,1.088371406,1.016165235
0,0,18.3,0.680051807,0.620295188,0.430781478,0.547268255,0.914160453,0.914156222,1.030142785,1.071261989,1.071262394,1.030142735
0,0,18.4,0.675385137,0.616439501,0.462128556,0.542386701,0.923378221,0.923373991,1.046628527,1.057592068,1.057592945,1.046627872
0,0,18.5,0.671347381,0.613079588,0.487500962,0.535252153,0.932466396,0.932462106,1.05687232,1.052074731,1.052075782,1.056871241
0,0,18.6,0.667967658,0.612816622,0.502658022,0.530122419,0.93815513,0.938150809,1.060294267,1.053652573,1.053653731,1.060293058
0,0,18.7,0.663778284,0.61214211,0.501308106,0.527674231,0.934259521,0.934255096,1.058632933,1.062472934,1.062474128,1.058631962
0,0,18.8,0.65979382,0.607592528,0.506938555,0.521612289,0.928158503,0.92815483,1.046363057,1.075086035,1.075086633,1.046362759
0,0,18.9,0.657850637,0.603672685,0.543627304,0.52259602,0.916221038,0.916216065,1.02786649,1.102793507,1.102793139,1.027867082
0,0,19,0.658277539,0.601948144,0.600742283,0.538300815,0.909359386,0.90935463,1.021824228,1.097267069,1.097266456,1.021824916
0,0,19.1,0.656347078,0.603448157,0.642538842,0.555488393,0.912743617,0.912738776,1.035641838,1.079388637,1.079388399,1.03564172
0,0,19.2,0.653262792,0.606195794,0.67564572,0.565630674,0.916314628,0.916309586,1.048868805,1.068098207,1.068098062,1.048867981
0,0,19.3,0.650726155,0.608083613,0.701308614,0.572449963,0.917818285,0.917813034,1.0544052,1.058506745,1.058506501,1.054404143
0,0,19.4,0.649370469,0.608089642,0.710430705,0.578667809,0.915421763,0.915416809,1.052636997,1.04985461,1.049854131,1.052636205
0,0,19.5,0.648629425,0.606650093,0.694095653,0.582969243,0.907481902,0.907476871,1.044363937,1.039058305,1.039057509,1.044363771
0,0,19.6,0.650290021,0.606982221,0.65948985,0.581603281,0.902064257,0.902058921,1.028074726,1.043825372,1.043823928,1.028075298
0,0,19.7,0.65501677,0.61003727,0.603095214,0.576834216,0.891626521,0.891620337,1.008833747,1.051807823,1.051806452,1.0088347
0,0,19.8,0.6631452,0.609741665,0.553079861,0.581169538,0.89530001,0.895293084,1.009801782,1.028149136,1.028148622,1.009801736
0,0,19.9,0.669162945,0.608798552,0.53491134,0.585959549,0.904014981,0.904007431,1.027850042,1.009100116,1.009099642,1.027848924
0,0,20,0.674142569,0.608978627,0.540779235,0.582354009,0.91044575,0.910437531,1.041090207,0.997693105,0.997692374,1.041088953
0,0,20.1,0.678402286,0.609556887,0.547397924,0.573379255,0.913722571,0.913713843,1.046381645,0.986794331,0.986793301,1.046380909
0,0,20.2,0.681259955,0.612056953,0.538547864,0.562699848,0.911790219,0.911780997,1.045492953,0.977930096,0.977928914,1.045492959
