x1 (cm),y1 (cm),freq (GHz),"Electric field norm (V/m), Boundary Probe 2","Electric field norm (V/m), Boundary Probe 3","Electric field norm (V/m), Point Probe 2","Electric field norm (V/m), Detector 2","Electric field norm (V/m), Detector 1","Electric field norm (V/m), Detector 3","Electric field norm (V/m), Boundary Probe 7","Electric field norm (V/m), Boundary Probe 8","Electric field norm (V/m), Boundary Probe 9","Electric field norm (V/m), Boundary Probe 10"
-9,-9,29.8,0.709423824,0.616733832,0.441462216,0.910170975,1.026851605,1.026857134,0.994680238,1.012549618,1.026851605,0.994680429
-9,-9,29.9,0.709283687,0.612166012,0.439630381,0.911945858,1.030108646,1.030111523,0.997508172,1.013285343,1.030108646,0.997509608
-9,-9,30,0.712209817,0.609064676,0.444312669,0.915158175,1.034250794,1.034250931,1.001879425,1.016198771,1.034250794,1.00188029
-9,-9,30.1,0.721069824,0.612403052,0.468670417,0.916102314,1.035206016,1.035205963,1.003508942,1.013834703,1.035206016,1.003508726
-9,-9,30.2,0.727013734,0.617639147,0.492507135,0.915649766,1.035382776,1.035385317,1.00230255,1.012117546,1.035382776,1.002301543
-9,-9,30.3,0.729446646,0.619443551,0.516278975,0.914124045,1.036064498,1.036069564,1.002308228,1.009152101,1.036064498,1.002307247
-9,-9,30.4,0.729346128,0.617858779,0.544528195,0.912108815,1.038184504,1.038190853,1.003607891,1.005930003,1.038184504,1.003607585
-9,-9,30.5,0.727397871,0.615815329,0.575890347,0.909507671,1.041380083,1.041386012,1.004883731,1.003391356,1.041380083,1.004883964
-9,-9,30.6,0.723743522,0.615644581,0.604741419,0.906695421,1.043140586,1.043144421,1.005700805,1.00179091,1.043140586,1.00570128
-9,-9,30.7,0.718706555,0.618596154,0.613300718,0.90465619,1.042064536,1.042066285,1.005945197,1.00196964,1.042064536,1.005946223
-9,-9,30.8,0.716925536,0.621594976,0.604932145,0.902671949,1.041967665,1.041969876,1.006972701,1.000190728,1.041967665,1.006974505
-9,-9,30.9,0.720641928,0.619603325,0.591340152,0.901568829,1.04356699,1.043570631,1.00418773,0.999030558,1.04356699,1.004191442
-9,-9,31,0.722761639,0.615985868,0.561734308,0.901880495,1.04401692,1.044022368,1.003203281,0.998798482,1.04401692,1.003208585
-9,-9,31.1,0.722112018,0.613767941,0.537806438,0.90356953,1.043180027,1.043185985,1.005824772,0.997599692,1.043180027,1.005830056
-9,-9,31.2,0.720135617,0.61372921,0.527696338,0.906023771,1.042742379,1.042746886,1.008829906,0.997287133,1.042742379,1.008834674
-9,-9,31.3,0.717357374,0.614157946,0.528289264,0.908063241,1.042731655,1.042733255,1.010525157,0.99787426,1.042731655,1.01052961
-9,-9,31.4,0.713038751,0.612795212,0.529894678,0.908928166,1.04180406,1.041802684,1.010889956,0.998847317,1.04180406,1.010894437
-9,-9,31.5,0.706431114,0.609914752,0.519365693,0.908641683,1.039389896,1.039387105,1.011598687,0.999756438,1.039389896,1.01160336
-9,-9,31.6,0.702023831,0.606327527,0.484477292,0.906659186,1.040569428,1.040567571,1.011520392,1.000240122,1.040569428,1.011524378
-9,-9,31.7,0.700633261,0.606690304,0.428015452,0.905094794,1.040847818,1.040847785,1.007702691,1.002930931,1.040847818,1.007707667
-9,-9,31.8,0.698009008,0.612122506,0.387446338,0.904825944,1.038116038,1.038118472,1.008210425,1.004343853,1.038116038,1.008216554
-9,-9,31.9,0.693681365,0.615932161,0.376041845,0.90608414,1.034755155,1.034759771,1.010572834,1.005713307,1.034755155,1.010578193
-9,-9,32,0.689272409,0.615237267,0.379677582,0.90808276,1.032431636,1.032437708,1.01153438,1.007438838,1.032431636,1.01153773
-9.5,-9.5,1,0.657756124,0.641443843,0.484906558,1.117634549,0.681874265,0.681874265,1.038259855,1.237384612,0.681874265,1.038259855
-9.5,-9.5,1.1,0.675533594,0.629115745,0.491417977,1.110208095,0.632760975,0.632760975,1.129353982,1.118000208,0.632760975,1.129353982
-9.5,-9.5,1.2,0.697816359,0.633075261,0.501178703,1.08891557,0.575250956,0.575250956,1.198525695,0.984279306,0.575250956,1.198525695
-9.5,-9.5,1.3,0.71910428,0.64333256,0.514040348,1.085573474,0.506967452,0.506967452,1.244266356,0.922523628,0.506967452,1.244266356
-9.5,-9.5,1.4,0.731324465,0.646824603,0.532545019,1.112237289,0.439911579,0.439911579,1.267487273,0.96811859,0.439911579,1.267487273
-9.5,-9.5,1.5,0.730461992,0.64280452,0.563041234,1.137376895,0.400653794,0.400653795,1.269295599,1.043634755,0.400653794,1.269295599
-9.5,-9.5,1.6,0.721178709,0.641876897,0.603122115,1.126285226,0.408331854,0.408331855,1.24960367,1.057992055,0.408331854,1.24960367
-9.5,-9.5,1.7,0.711667351,0.65561833,0.641496521,1.074514391,0.457384528,0.457384528,1.207986055,0.992255639,0.457384528,1.207986056
-9.5,-9.5,1.8,0.70772364,0.676596233,0.672795623,1.002701566,0.528192233,0.528192233,1.146663394,0.889180902,0.528192233,1.146663395
-9.5,-9.5,1.9,0.712220032,0.690672351,0.697799691,0.942256728,0.60376277,0.60376277,1.074741185,0.815397414,0.60376277,1.074741185
-9.5,-9.5,2,0.726232099,0.689457674,0.71897673,0.918537427,0.675799404,0.675799404,1.013759025,0.813675662,0.675799404,1.013759025
