x1 (cm),y1 (cm),freq (GHz),"Electric field norm (V/m), Boundary Probe 2","Electric field norm (V/m), Boundary Probe 3","Electric field norm (V/m), Point Probe 2","Electric field norm (V/m), Detector 1","Electric field norm (V/m), Detector 2p","Electric field norm (V/m), Detector 2n","Electric field norm (V/m), Boundary Probe 3n","Electric field norm (V/m), Boundary Probe 4n","Electric field norm (V/m), Boundary Probe 4p","Electric field norm (V/m), Boundary Probe 3p"
-9,-9,25.9,0.7142,0.62305,0.3899,0.47786,1.0345,1.0345,1.0116,1.0125,1.0125,1.0116
-9,-9,26,0.71293,0.62026,0.42773,0.47426,1.0352,1.0352,1.0119,1.0057,1.0057,1.0119
-9,-9,26.1,0.7137,0.61757,0.4882,0.46654,1.0336,1.0336,1.0072,1.0042,1.0042,1.0072
-9,-9,26.2,0.71453,0.61759,0.53087,0.45038,1.027,1.027,1.005,1.0031,1.0031,1.005
-9,-9,26.3,0.71239,0.61825,0.55028,0.43488,1.0196,1.0196,1.0067,0.99487,0.99487,1.0067
-9,-9,26.4,0.70928,0.61864,0.55594,0.42103,1.0148,1.0148,1.0092,0.98593,0.98593,1.0092
-9,-9,26.5,0.70629,0.61906,0.55097,0.40931,1.0125,1.0125,1.0111,0.98089,0.98089,1.0111
-9,-9,26.6,0.70277,0.61921,0.53684,0.4009,1.0117,1.0117,1.0118,0.98103,0.98103,1.0118
-9,-9,26.7,0.69804,0.61916,0.52535,0.39394,1.0135,1.0135,1.0121,0.98578,0.98578,1.0121
-9,-9,26.8,0.69565,0.62131,0.54899,0.39441,1.0167,1.0167,1.0111,0.99371,0.99372,1.0112
-9,-9,26.9,0.69826,0.62135,0.59762,0.39461,1.0232,1.0232,1.0098,1.0038,1.0038,1.0098
-9,-9,27,0.70019,0.61803,0.60895,0.38847,1.0249,1.0249,1.0125,1.0064,1.0064,1.0125
-9,-9,27.1,0.69876,0.61553,0.59664,0.38262,1.0238,1.0238,1.0177,1.0066,1.0066,1.0177
-9,-9,27.2,0.69634,0.61458,0.57647,0.37827,1.024,1.024,1.022,1.0072,1.0072,1.022
-9,-9,27.3,0.69366,0.61464,0.5492,0.37663,1.0268,1.0268,1.0251,1.0097,1.0097,1.0251
-9,-9,27.4,0.68963,0.61395,0.51682,0.37966,1.0318,1.0318,1.0283,1.0144,1.0144,1.0283
-9,-9,27.5,0.68442,0.61236,0.49145,0.38563,1.0384,1.0385,1.0311,1.0201,1.0201,1.0311
-9,-9,27.6,0.67869,0.61012,0.47631,0.39839,1.0461,1.0461,1.0321,1.0259,1.0259,1.0321
-9,-9,27.7,0.67979,0.60495,0.47363,0.41658,1.0532,1.0532,1.0291,1.0235,1.0235,1.0291
-9,-9,27.8,0.68087,0.60416,0.47389,0.42946,1.0496,1.0496,1.027,1.0222,1.0222,1.027
-9,-9,27.9,0.67912,0.60745,0.47584,0.43934,1.0443,1.0443,1.0245,1.0211,1.0211,1.0245
-9,-9,28,0.67638,0.61003,0.48486,0.44729,1.0418,1.0418,1.02,1.02,1.02,1.02
-9,-9,28.1,0.67346,0.61195,0.50332,0.45259,1.0419,1.0419,1.0144,1.0185,1.0185,1.0144
-9,-9,28.2,0.67016,0.61174,0.52701,0.4558,1.0431,1.0431,1.0087,1.0146,1.0146,1.0087
-9,-9,28.3,0.66654,0.60916,0.55081,0.45471,1.0426,1.0426,1.0043,1.009,1.009,1.0043
