% Model,Untitled.mph
% Version,COMSOL 6.1.0.282
% Date,"Jun 9 2023, 12:37"
% Table,Probe Table 1 - 
% freq (GHz),phi (deg),"Electric field norm (V/m), Domain Probe 1","Electric field norm (V/m), Boundary Probe 1","Electric field norm (V/m), Boundary Probe 2","Electric field norm (V/m), Boundary Probe 3"
1.7000000000000002,270,0.6350753249622456,0.5229438734291222,0.5734587581986593,0.5965807515632056
1.7000000000000002,285,0.6326932668884129,0.5565539211896603,0.5810777415004335,0.6126580022673701
1.7000000000000002,300,0.6236046317825482,0.5938305119159767,0.5858988051341679,0.6281851378970859
1.7000000000000002,315,0.6099742543271481,0.6351511614023053,0.5729982442585273,0.6277456282171258
1.7000000000000002,330,0.5970059034763969,0.688209735143956,0.5486005500290575,0.614073482735607
1.7000000000000002,345,0.589462112087772,0.7441507965925194,0.5368002309320713,0.5989374182758929
1.7000000000000002,360,0.5874349407120653,0.7691082295590737,0.5634120003607842,0.5937317450390541
1.8,0,0.5394825550468507,0.7655191009955321,0.5515002364999358,0.6033953555934968
1.8,14.999999999999998,0.5443222915213434,0.7394775261388936,0.6024678632831123,0.6061226430994976
1.8,29.999999999999996,0.5619022930508744,0.6880062374940383,0.6679401519070275,0.6206841280730702
1.8,45,0.588850001874809,0.6440850722263999,0.7221070988870643,0.6393400212741414
1.8,59.99999999999999,0.6154914421103003,0.6071848917633748,0.751458065487494,0.6440216751315391
1.8,75,0.6335558037445121,0.5654037306865919,0.7611814945647678,0.6296760073682929
1.8,90,0.6390823543930554,0.5235285804783908,0.7632922935144933,0.6122879277371522
1.8,105,0.6335558019849579,0.5491180317881951,0.7611814905187769,0.6296759983587906
1.8,119.99999999999999,0.6154914382136661,0.5716207069548891,0.7514580557848138,0.6440216655776566
